,white,blue,competition,date,round_cat
0,AGBEGNENOU Clarisse,OLIVEIRA Danielle,Grand Prix Zagreb 2015,"May
1 - 3",Round 2  -63 kg  #33
0,AGBEGNENOU Clarisse,SCHLESINGER Alice,Grand Prix Zagreb 2015,"May
1 - 3",Round 3  -63 kg  #49
0,AGBEGNENOU Clarisse,TSEDEVSUREN Munkhzaya,Grand Prix Zagreb 2015,"May
1 - 3",Quarter-Final  -63 kg  #57
0,AGBEGNENOU Clarisse,GWEND Edwige,Grand Prix Zagreb 2015,"May
1 - 3",Semi-Final  -63 kg  #63
0,AGBEGNENOU Clarisse,TRSTENJAK Tina,Grand Prix Zagreb 2015,"May
1 - 3",Final  -63 kg  #67
0,AGBEGNENOU Clarisse,NAKAO Janine,Grand Prix Jeju 2014,"November
27 - 29",Round 1  -63 kg  #1
0,AGBEGNENOU Clarisse,BAZYNSKI Nadja,Grand Prix Jeju 2014,"November
27 - 29",Semi-Final  -63 kg  #15
0,AGBEGNENOU Clarisse,PUCHE Isabel,Grand Prix Jeju 2014,"November
27 - 29",Final  -63 kg  #19
0,AGBEGNENOU Clarisse,BERNHOLM Anna,World Championships Chelyabinsk 2014,"August
25 - 30",Round 2  -63 kg  #33
0,AGBEGNENOU Clarisse,ZHANG Wen,World Championships Chelyabinsk 2014,"August
25 - 30",Round 3  -63 kg  #49
0,AGBEGNENOU Clarisse,GWEND Edwige,World Championships Chelyabinsk 2014,"August
25 - 30",Quarter-Final  -63 kg  #57
0,AGBEGNENOU Clarisse,BELLARD Anne-Laure,World Championships Chelyabinsk 2014,"August
25 - 30",Semi-Final  -63 kg  #63
0,AGBEGNENOU Clarisse,GERBI Yarden,World Championships Chelyabinsk 2014,"August
25 - 30",Final  -63 kg  #67
0,AGBEGNENOU Clarisse,CIZMEK Andreja,Grand Prix Havana 2014,"June
6 - 8",-63 kg  #20
0,AGBEGNENOU Clarisse,MARTIN Hannah,Grand Prix Havana 2014,"June
6 - 8",-63 kg  #26
0,AGBEGNENOU Clarisse,UNTERWURZACHER Kathrin,Grand Prix Havana 2014,"June
6 - 8",-63 kg  #29
0,BELLARD Anne-Laure,AGBEGNENOU Clarisse,Grand Prix Havana 2014,"June
6 - 8",-63 kg  #30
0,AGBEGNENOU Clarisse,TELTSIDOU Elisavet,European Championships Seniors 2014,"April
24 - 27",-63 kg  #20
0,AGBEGNENOU Clarisse,GWEND Edwige,European Championships Seniors 2014,"April
24 - 27",-63 kg  #26
0,AGBEGNENOU Clarisse,VAN EMDEN Anicka,European Championships Seniors 2014,"April
24 - 27",-63 kg  #29
0,TRSTENJAK Tina,AGBEGNENOU Clarisse,European Championships Seniors 2014,"April
24 - 27",-63 kg  #30
0,AGBEGNENOU Clarisse,MILOSEVIC Nina,Grand Slam Paris 2014,"February
8 - 9",-63 kg  #8
0,AGBEGNENOU Clarisse,BARKELING Emma,Grand Slam Paris 2014,"February
8 - 9",-63 kg  #20
0,AGBEGNENOU Clarisse,TASHIRO Miku,Grand Slam Paris 2014,"February
8 - 9",-63 kg  #26
0,AGBEGNENOU Clarisse,VAN EMDEN Anicka,Grand Slam Paris 2014,"February
8 - 9",-63 kg  #29
0,BELLARD Anne-Laure,AGBEGNENOU Clarisse,Grand Slam Paris 2014,"February
8 - 9",-63 kg  #30
0,GALLEGO PEREZ OLIVARES Javier,ALLARDON Jonathan,Sofia European Open 2020,"February
1 - 2",Round 1  -81 kg  #22
0,SEMENOV Stanislav,ALLARDON Jonathan,Sofia European Open 2020,"February
1 - 2",Round 2  -81 kg  #43
0,ALLARDON Jonathan,PANHANI Eldar,Sofia European Open 2020,"February
1 - 2",Round 3  -81 kg  #54
0,MOUTII Achraf,ALLARDON Jonathan,Sofia European Open 2020,"February
1 - 2",Quarter-Final  -81 kg  #59
0,ALLARDON Jonathan,HERRERO ZAPIRAIN Igor,Sofia European Open 2020,"February
1 - 2",Repechage  -81 kg  #62
0,ALLARDON Jonathan,CUSACK Scott,Luxembourg European Open 2019,"September
28 - 29",Round 2  -81 kg  #45
0,ALLARDON Jonathan,GALLEGO PEREZ OLIVARES Javier,Luxembourg European Open 2019,"September
28 - 29",Round 3  -81 kg  #55
0,ALLARDON Jonathan,KEITA Ibrahim,Luxembourg European Open 2019,"September
28 - 29",Quarter-Final  -81 kg  #60
0,MCWATT Stuart,ALLARDON Jonathan,Luxembourg European Open 2019,"September
28 - 29",Semi-Final  -81 kg  #64
0,DJALO Alpha Oumar,ALLARDON Jonathan,Luxembourg European Open 2019,"September
28 - 29",Final  -81 kg  #67
0,ALLARDON Jonathan,NAI Rigaqi,Antalya Grand Prix 2019,"April
5 - 7",Round 1  -81 kg  #7
0,ALLARDON Jonathan,MOLINA GENER William,Rome European Open 2019,"February
16 - 17",Round 2  -81 kg  #41
0,ALLARDON Jonathan,REGIS Andrea,Rome European Open 2019,"February
16 - 17",Round 3  -81 kg  #53
0,ALLARDON Jonathan,KALININ Denis,Rome European Open 2019,"February
16 - 17",Quarter-Final  -81 kg  #59
0,ALLARDON Jonathan,BORCHASHVILLI Adam,Rome European Open 2019,"February
16 - 17",Repechage  -81 kg  #62
0,ALLARDON Jonathan,ZHA Lasai,Rome European Open 2019,"February
16 - 17",Bronze  -81 kg  #66
0,MUKI Sagi,ALLARDON Jonathan,Paris Grand Slam 2019,"February
9 - 10",Round 1  -81 kg  #13
0,ALLARDON Jonathan,CAROLLO Massimiliano,Odivelas European Open 2019,"February
2 - 3",Round 2  -81 kg  #41
0,ALLARDON Jonathan,DUINOVS Nikita,Odivelas European Open 2019,"February
2 - 3",Round 3  -81 kg  #53
0,ALLARDON Jonathan,STANCEL Filip,Odivelas European Open 2019,"February
2 - 3",Quarter-Final  -81 kg  #59
0,ALLARDON Jonathan,TOMOKIYO Hikaru,Odivelas European Open 2019,"February
2 - 3",Semi-Final  -81 kg  #64
0,REGIS Andrea,ALLARDON Jonathan,Odivelas European Open 2019,"February
2 - 3",Bronze  -81 kg  #65
0,ALLARDON Jonathan,SHEROV Erlan,Tashkent Grand Prix 2018,"November
9 - 11",Round 2  -81 kg  #35
0,ALLARDON Jonathan,STEPIEN Damian,Tashkent Grand Prix 2018,"November
9 - 11",Round 3  -81 kg  #50
0,MUKI Sagi,ALLARDON Jonathan,European Senior Championships 2018,"April
26 - 28",Round 2  -81 kg  #46
0,ALLARDON Jonathan,ZOLOEV Vladimir,Tbilisi Grand Prix 2018,"Mar - Apr
30 - 1",Round 1  -81 kg  #15
0,ALLARDON Jonathan,GUILHEIRO Leandro,Dusseldorf Grand Slam 2018,"February
23 - 25",Round 1  -81 kg  #31
0,ALLARDON Jonathan,YAMAMOTO Yuji,Dusseldorf Grand Slam 2018,"February
23 - 25",Round 2  -81 kg  #48
0,RESSEL Dominic,ALLARDON Jonathan,Dusseldorf Grand Slam 2018,"February
23 - 25",Round 3  -81 kg  #56
0,ALLARDON Jonathan,ALBAYRAK Vedat,Paris Grand Slam 2018,"February
10 - 11",Round 1  -81 kg  #8
0,KHUBETSOV Alan,ALLARDON Jonathan,Masters St Petersburg 2017,"December
16 - 17",Round 1  -81 kg  #3
0,ALLARDON Jonathan,TERADA Masayuki,Tokyo Grand Slam 2017,"December
2 - 3",Round 2  -81 kg  #48
0,LAPPINAGOV Aslan,ALLARDON Jonathan,Tokyo Grand Slam 2017,"December
2 - 3",Round 3  -81 kg  #56
0,NYAMSUREN Dagvasuren,ALLARDON Jonathan,Tokyo Grand Slam 2017,"December
2 - 3",Quarter-Final  -81 kg  #60
0,SANTOS Eduardo Yudy,ALLARDON Jonathan,Tokyo Grand Slam 2017,"December
2 - 3",Repechage  -81 kg  #62
0,ALLARDON Jonathan,DE WIT Frank,Tokyo Grand Slam 2017,"December
2 - 3",Bronze  -81 kg  #66
0,ALLARDON Jonathan,BOLTABOEV Sharofiddin,Abu Dhabi Grand Slam 2017,"October
26 - 28",Round 1  -81 kg  #12
0,REKHVIASHVILI Zebeda,ALLARDON Jonathan,Abu Dhabi Grand Slam 2017,"October
26 - 28",Round 2  -81 kg  #22
0,LIVESEY Owen,ALLARDON Jonathan,Zagreb Grand Prix 2017,"Sep - Oct
29 - 1",Round 1  -81 kg  #12
0,EGUTIDZE Anri,ALLARDON Jonathan,Zagreb Grand Prix 2017,"Sep - Oct
29 - 1",Round 2  -81 kg  #22
0,LUCENTI Emmanuel,ALLARDON Jonathan,Zagreb Grand Prix 2017,"Sep - Oct
29 - 1",Quarter-Final  -81 kg  #27
0,ALLARDON Jonathan,ESPOSITO Antonio,Zagreb Grand Prix 2017,"Sep - Oct
29 - 1",Semi-Final  -81 kg  #32
0,UNGVARI Attila,ALLARDON Jonathan,Zagreb Grand Prix 2017,"Sep - Oct
29 - 1",Final  -81 kg  #35
0,ZABOROSCIUC Nicon,ALLARDON Jonathan,Grand Prix Zagreb 2016,"September
23 - 25",Round 1  -81 kg  #10
0,CSOKNYAI Laszlo,ALLARDON Jonathan,Grand Prix Zagreb 2016,"September
23 - 25",Round 2  -81 kg  #21
0,DE WIT Frank,ALLARDON Jonathan,Grand Slam Paris 2016,"February
6 - 7",Round 1  -81 kg  #26
0,STSIASHENKA Aliaksandr,ALLARDON Jonathan,European Open Minsk 2015,"June
6 - 7",Round 2  -81 kg  #33
0,VAN TICHELT Dirk,ALLARDON Jonathan,Grand Prix Qingdao 2014,"November
19 - 21",Round 1  -73 kg  #5
0,MOGUSHKOV Musa,ALLARDON Jonathan,Grand Prix Dusseldorf 2014,"February
21 - 23",-73 kg  #0
0,ALLARDON Jonathan,ANGELES SOTELO Luis,Grand Prix Dusseldorf 2014,"February
21 - 23",-73 kg  #6
0,BUUVEIBAATAR Khishigbayar,ALLARDON Jonathan,Grand Prix Dusseldorf 2014,"February
21 - 23",-73 kg  #35
0,ALLARDON Jonathan,WANDTKE Igor,Grand Prix Dusseldorf 2014,"February
21 - 23",-73 kg  #49
0,ALLARDON Jonathan,DRAKSIC Rok,Grand Prix Dusseldorf 2014,"February
21 - 23",-73 kg  #56
0,SCVORTOV Victor,ALLARDON Jonathan,Grand Slam Paris 2014,"February
8 - 9",-73 kg  #5
0,ALLARDON Jonathan,DANCULEA Costel,Grand Slam Paris 2014,"February
8 - 9",-73 kg  #56
0,ALLARDON Jonathan,BANG Gui-Man,Grand Slam Paris 2014,"February
8 - 9",-73 kg  #60
